genre,tag,genre number,name,seg,nopunc,focal,compare,stopwords,delimiters,max_cost,120,10,5,2,1,sentence
G12,Medicine,02,nanjing,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G12,Medicine,02,nanjing,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,19,3,3,1,1,12
G12,Medicine,02,nanjing,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,4,2,1,1,1,1
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,21,2,2,1,0,13
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,12,2,1,1,0,11
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,45,13,10,4,1,25
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,8,2,1,0,0,6
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,6,3,2,0,0,4
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,33,6,3,2,0,21
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,33,4,2,2,1,15
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,40,6,2,1,0,20
G12,Medicine,03,shanghanlun,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,17,3,3,1,0,10
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,13,0,0,0,0,7
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,5,0,0,0,0,3
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,17,12,9,2,2,7
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,82,31,20,4,2,62
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,12,8,5,2,0,1
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,2,2,0,0,0,0
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,18,6,6,0,0,14
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,47,5,3,2,1,35
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,6,1,1,1,1,3
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,41,5,4,3,2,20
G12,Medicine,04,jinkuiyaolue,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,13,3,1,0,0,1
G13,Excavated,01,guodian,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,0,0,0,0,0,0
G13,Excavated,01,guodian,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G13,Excavated,01,guodian,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,0,0,0,0,0,0
G13,Excavated,01,guodian,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,0,0,0,0,0,0
G13,Excavated,01,guodian,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,441,164,100,46,25,242
G13,Excavated,01,guodian,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,216,49,28,15,10,141
G13,Excavated,01,guodian,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,269,51,32,14,6,146
G13,Excavated,01,guodian,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,168,10,5,1,1,53
G13,Excavated,01,guodian,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G13,Excavated,01,guodian,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,0,0,0,0,0,0
G13,Excavated,01,guodian,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,46,12,11,4,2,19
